CD_PROV_REFNIS,CD_AGE,MS_POPULATION
30000,59,4643
30000,60,4420
30000,61,4478
30000,62,4304
30000,63,4289
30000,64,4130
30000,65,4017
30000,66,3898
30000,67,3785
30000,68,3799
30000,69,3791
30000,70,3729
30000,71,4075
30000,72,3509
30000,73,3495
30000,74,3172
30000,75,2787
30000,76,2518
30000,77,2751
30000,78,3040
30000,79,2942
30000,80,2873
30000,81,2628
30000,82,2409
30000,83,2262
30000,84,2164
30000,85,2109
30000,86,1934
30000,87,1640
30000,88,1471
30000,89,1186
30000,90,1008
30000,91,855
30000,92,712
30000,93,542
30000,94,426
30000,95,322
30000,96,241
30000,97,155
30000,98,80
30000,99,37
30000,100,57
40000,0,4787
40000,1,4894
40000,2,4863
40000,3,4950
40000,4,4774
40000,5,4938
40000,6,4942
40000,7,4868
40000,8,4884
40000,9,4804
40000,10,4632
40000,11,4507
40000,12,4394
40000,13,4411
40000,14,4108
40000,15,4083
40000,16,4083
40000,17,4245
40000,18,4326
40000,19,4305
40000,20,4578
40000,21,4716
40000,22,4972
40000,23,5381
40000,24,6254
40000,25,6946
40000,26,7531
40000,27,7521
40000,28,7407
40000,29,7169
40000,30,6856
40000,31,6608
40000,32,6287
40000,33,6222
40000,34,6122
40000,35,6168
40000,36,6212
40000,37,6339
40000,38,6062
40000,39,5915
40000,40,5517
40000,41,5632
40000,42,5366
40000,43,5226
40000,44,5108
40000,45,5430
40000,46,5519
40000,47,5573
40000,48,5388
40000,49,5260
40000,50,5257
40000,51,5338
40000,52,5431
40000,53,5671
40000,54,5432
40000,55,5354
40000,56,5324
40000,57,5245
40000,58,5157
40000,59,5090
40000,60,4941
40000,61,4816
40000,62,4812
40000,63,4399
40000,64,4249
40000,65,4145
40000,66,3981
40000,67,4058
40000,68,3916
40000,69,3868
40000,70,3799
40000,71,3836
40000,72,3372
40000,73,3473
40000,74,3267
40000,75,2611
40000,76,2295
40000,77,2589
40000,78,2893
40000,79,2805
40000,80,2557
40000,81,2546
40000,82,2351
40000,83,2330
40000,84,2235
40000,85,2001
40000,86,1962
40000,87,1654
40000,88,1292
40000,89,1168
40000,90,986
40000,91,770
40000,92,663
40000,93,518
40000,94,384
40000,95,315
40000,96,216
40000,97,162
40000,98,84
40000,99,34
40000,100,77
50000,0,4887
50000,1,4866
50000,2,5142
50000,3,5187
50000,4,5247
50000,5,5289
50000,6,5384
50000,7,5383
50000,8,5432
50000,9,5282
50000,10,5373
50000,11,5305
50000,12,5245
50000,13,5103
50000,14,5023
50000,15,5064
50000,16,5188
50000,17,5314
50000,18,5154
50000,19,5322
50000,20,5297
50000,21,5417
50000,22,5553
50000,23,5550
50000,24,5794
50000,25,5997
50000,26,6035
50000,27,6261
50000,28,6155
50000,29,6047
50000,30,5911
50000,31,5822
50000,32,5658
50000,33,5600
50000,34,5392
50000,35,5622
50000,36,5674
50000,37,5774
50000,38,5648
50000,39,5622
50000,40,5624
50000,41,5643
50000,42,5628
50000,43,5896
50000,44,6077
50000,45,6219
50000,46,6190
50000,47,6305
50000,48,6093
50000,49,5878
50000,50,5909
50000,51,5989
50000,52,6125
50000,53,6192
50000,54,6165
50000,55,6010
50000,56,5980
50000,57,6062
50000,58,6019
50000,59,5922
50000,60,5779
50000,61,5612
50000,62,5487
50000,63,5579
50000,64,5210
50000,65,5053
50000,66,4842
50000,67,4934
50000,68,4900
50000,69,4930
50000,70,4942
50000,71,4722
50000,72,3453
50000,73,3411
50000,74,3173
50000,75,2567
50000,76,2420
50000,77,2717
50000,78,2714
50000,79,2662
50000,80,2436
50000,81,2263
50000,82,2204
50000,83,2091
50000,84,1883
50000,85,1987
50000,86,1812
50000,87,1704
50000,88,1372
50000,89,1201
50000,90,1012
50000,91,838
50000,92,707
50000,93,558
50000,94,366
50000,95,270
50000,96,231
50000,97,169
50000,98,66
50000,99,33
50000,100,51
60000,0,3186
60000,1,3193
60000,2,3000
60000,3,3169
60000,4,2991
60000,5,3082
60000,6,3006
60000,7,2991
60000,8,2863
60000,9,2865
60000,10,2720
60000,11,2688
60000,12,2625
60000,13,2494
60000,14,2516
60000,15,2549
60000,16,2581
60000,17,2570
60000,18,2723
60000,19,2799
60000,20,3022
60000,21,3217
60000,22,3376
60000,23,3577
60000,24,3794
60000,25,4168
60000,26,4321
60000,27,4347
60000,28,4259
60000,29,4265
60000,30,4077
60000,31,4030
60000,32,3768
60000,33,3800
60000,34,3524
60000,35,3604
60000,36,3429
