id,province,population,x_coord,y_coord,latitude,longitude,name
11001,1,14304,150964.395333333,202431.664,51.1340539,4.3844742,AARTSELAAR
11002,1,523248,153104.586028369,212271.71007092198,51.21658450035461,4.41354548865248,ANTWERPEN
11004,1,13120,159954.505,206256.5035,51.16082405,4.51038522,BOECHOUT
11005,1,17970,150360.4,198115.397222222,51.086079999999995,4.3663300000000005,BOOM
11007,1,10685,158373.267142857,209240.251428571,51.1966684,4.485629900000001,BORSBEEK
11008,1,37850,158918.819827586,221748.327413793,51.29227,4.494190000000001,BRASSCHAAT
11009,1,29010,168070.150125,224780.0715,51.3495775,4.6376322,BRECHT
11013,1,21947,154685.668,205393.02466666698,51.1559541,4.431893700000001,EDEGEM
11016,1,19079,156460.2596,237847.8004,51.382979999999996,4.47518,ESSEN
11018,1,11368,148198.769285714,203536.623571429,51.145179999999996,4.3383400000000005,HEMIKSEM
11021,1,8115,157610.123333333,204366.29444444398,51.1540043,4.4711513,HOVE
11022,1,18608,157904.470588235,231315.79617647102,51.382979999999996,4.47518,KALMTHOUT
11023,1,26771,154487.6576,224119.3344,51.3140004,4.4324004,KAPELLEN
11024,1,21074,155592.424827586,201594.393448276,51.130035565517204,4.4466770862069005,KONTICH
11025,1,8787,159097.005555556,201935.01666666698,51.1272719,4.4967604,LINT
11029,1,25824,156009.79238095199,207196.811904762,51.1691158,4.4662486,MORTSEL
11030,1,10424,147481.69,199869.63428571398,51.110640000000004,4.33207,NIEL
11035,1,18981,165219.225142857,208999.295714286,51.188711037142895,4.59022609142857,RANST
11037,1,15114,153073.82,198210.017826087,51.090113626086996,4.41347080869565,RUMST
11038,1,8433,148445.176666667,201304.416666667,51.126918599999996,4.3388412,SCHELLE
11039,1,19585,164830.49625,215797.55375,51.248130133333305,4.5759354000000005,SCHILDE
11040,1,34462,159116.704027778,216452.039722222,51.2497532,4.497706299999999,SCHOTEN
11044,1,18529,151340.993235294,224221.246764706,51.3229754411765,4.38529379411765,STABROEK
11050,1,9711,160418.273846154,213067.75,51.229818200000004,4.5108974,WIJNEGEM
11052,1,12893,160133.67575,210635.34399999998,51.2021676,4.5219648,WOMMELGEM
11053,1,20671,165472.553285714,230754.345857143,51.3918731628571,4.60460126857143,WUUSTWEZEL
11054,1,12985,171240.356451613,210798.587741935,51.206134980645196,4.67296063548387,ZANDHOVEN
11055,1,21739,170230.605,216710.91269230802,51.2551742846154,4.660247,ZOERSEL
11056,1,19002,147413.726590909,211497.378181818,51.2111991272727,4.33681802272727,ZWIJNDRECHT
11057,1,15304,173766.162083333,220855.247083333,51.298975299999995,4.71400875,MALLE-WESTMALLE
12002,1,11507,170183.21375,199770.38625,51.11804,4.65752,BERLAAR
12005,1,14951,163812.0405,190191.099,51.022196545,4.54803189,BONHEIDEN
12007,1,21186,140919.53310344802,197684.458965517,51.0960068310345,4.23910036551724,BORNEM-BORMEM
12009,1,17385,159562.41736842098,198297.200526316,51.09539,4.5052,DUFFEL
12014,1,42478,175485.75172727302,195142.910181818,51.0751658363636,4.729764781818179,HEIST-OP-DEN-BERG
12021,1,35712,164122.030606061,202178.86969697,51.1302163606061,4.57150510909091,LIER
12025,1,86304,157133.004734043,190719.186808511,51.0253457489362,4.47459442765958,MECHELEN
12026,1,22813,170161.91375,204679.688,51.161359085,4.67056163,NIJLEN
12029,1,17584,168321.421818182,193384.040454545,51.054725700000006,4.628679099999999,PUTTE
12030,1,17452,145766.049285714,195576.441428571,51.0660142971429,4.31838657142857,PUURS
12034,1,8480,140363.067222222,193587.940555556,51.0559173,4.2216529000000005,SINT-AMANDS
12035,1,20870,160949.1434,194566.7006,51.068052052,4.544615732,SINT
12040,1,26223,149512.518235294,193678.293235294,51.054909335294106,4.35449356176471,WILLEBROEK
13001,1,13281,200265.820714286,223593.327142857,51.322049,5.0863347999999995,ARENDONK
13002,1,2705,188246.127602339,235450.818913255,51.441832,4.931736,BAARLE-HERTOG
13003,1,22426,206348.938285714,206025.960571429,51.164307648571395,5.16314632571429,BALEN
13004,1,17931,181984.55800000002,222925.8025,51.31501988,4.84026508,BEERSE
13006,1,9540,202306.173076923,214920.894615385,51.23985,5.11269,DESSEL
13008,1,39923,192976.39754717,204923.66056603802,51.141420886792496,4.91406741320755,GEEL
13010,1,11123,176066.145238095,207526.172380952,51.184320828571394,4.73956748571429,GROBBENDONK
13011,1,28117,182261.408181818,206326.053030303,51.1643319787879,4.83547916969697,HERENTALS
13012,1,8951,178069.88833333302,203598.811666667,51.139450599999996,4.7564892,HERENTHOUT
13013,1,14537,185479.86117647102,193018.376470588,51.05236832352939,4.880688,HERSELT
13014,1,21333,177723.850128205,236286.371538462,51.41677366153849,4.77053884871795,HOOGSTRATEN
13016,1,10382,181190.1955,194518.24300000002,51.07468686,4.79178604,HULSHOUT
13017,1,18600,190260.79425,214726.58225,51.233684625,4.937155015,KASTERLEE
13019,1,16512,182261.79,215623.595862069,51.260212420689705,4.8372677620689695,LILLE
13021,1,10326,199576.960625,202102.603125,51.13219,5.0770800000000005,MEERHOUT
13023,1,8619,184075.034375,228333.24125,51.34806,4.76054,MERKSPLAS
13025,1,36544,202717.016324786,210208.450598291,51.191086999999996,5.1170647,MOL
13029,1,12491,186180.60600000003,206167.0615,51.1440245,4.8599119,OLEN
13031,1,13517,193450.011315789,223717.788947368,51.3177601,4.982844999999999,OUD-TURNHOUT
13035,1,14871,195016.689583333,234093.05513888897,51.410397269444395,5.01068341666667,RAVELS
13036,1,11240,199608.027142857,218127.677142857,51.2669664,5.0842508,RETIE
